temperature,humidity,wind_speed,precipitation,solar_output
34.34,30.02,7.59,17.9,16.48
20.39,52.33,0.71,11.05,13.43
31.86,20.49,5.44,10.41,24.44
28.02,67.18,7.86,18.16,6.12
20.39,57.75,2.7,15.2,7.83
28.75,30.26,0.95,13.26,18.22
21.48,87.87,8.84,14.58,3.42
19.08,35.86,1.63,18.89,10.13
35.27,41.17,7.23,16.16,17.5
44.13,52.58,0.72,14.57,21.59
10.67,75.3,2.07,18.78,0.0
24.16,82.32,2.82,1.45,10.31
18.91,37.4,6.68,13.12,13.83
22.62,77.69,6.33,7.84,10.39
37.92,38.12,8.88,11.45,20.67
14.56,45.68,4.94,18.4,6.06
35.6,74.18,2.67,13.37,12.55
41.67,18.99,3.79,11.39,25.36
13.7,83.64,6.74,12.26,1.99
29.42,55.06,6.77,5.31,15.78
26.6,15.92,7.68,16.53,18.94
13.96,78.49,5.48,19.08,0.0
31.67,57.23,8.7,14.75,13.5
14.54,45.62,5.71,15.82,10.11
26.58,13.96,5.1,8.95,23.93
32.24,77.14,6.65,4.4,13.78
16.05,53.75,5.07,16.59,5.22
32.28,61.44,1.85,8.74,16.06
25.84,83.73,9.51,17.31,4.34
30.53,74.1,3.73,1.41,14.41
25.02,16.89,4.87,16.8,19.71
38.25,21.23,2.34,15.53,22.45
24.24,74.82,6.38,4.17,10.56
29.19,88.47,6.76,15.2,5.45
34.64,65.51,8.52,13.3,14.38
33.74,41.82,3.73,14.09,17.67
35.99,17.09,8.1,8.62,27.0
24.06,17.9,8.69,1.21,23.51
38.45,48.88,9.79,16.99,15.94
17.36,17.76,5.94,10.06,18.35
28.3,84.15,3.82,18.87,4.31
32.23,25.9,6.2,12.47,21.28
19.14,76.4,3.51,15.74,4.32
13.88,34.96,6.57,4.02,16.76
14.92,57.13,1.7,0.86,12.62
25.32,65.82,1.75,16.35,8.99
39.7,85.5,5.39,4.48,16.83
17.86,43.12,1.63,6.76,16.03
15.58,72.46,6.63,16.16,1.68
40.31,57.53,5.24,4.9,22.84
39.44,79.82,7.84,2.46,15.9
25.22,42.95,0.51,9.49,18.02
44.85,65.45,4.81,7.46,20.73
15.19,25.07,4.38,12.93,16.03
30.14,66.17,2.0,14.84,12.77
40.62,24.78,3.42,11.84,26.48
44.42,31.16,0.63,16.14,23.37
31.57,11.42,9.18,19.5,20.44
29.34,49.96,5.98,6.83,15.79
41.74,32.9,6.84,9.89,23.21
36.04,28.1,4.9,14.88,19.11
12.93,77.98,6.52,9.16,3.42
29.6,27.47,6.53,10.88,19.67
11.86,25.87,5.44,6.0,18.02
40.32,31.08,6.41,9.63,24.18
36.4,70.38,9.82,19.88,11.53
38.85,25.57,1.37,9.07,24.9
43.48,11.09,8.93,1.5,31.83
41.35,22.16,1.31,2.8,29.35
27.49,62.73,5.57,11.67,12.26
33.99,48.41,6.11,10.42,16.64
18.14,47.87,4.21,3.14,16.61
43.31,72.48,8.84,4.27,19.6
35.82,62.65,2.21,17.58,11.88
39.55,14.84,6.56,7.77,29.14
12.76,28.2,2.87,1.16,19.25
31.48,28.51,0.85,13.16,20.57
42.93,70.07,2.97,1.22,21.92
33.91,35.38,1.8,1.83,23.75
40.46,24.81,3.69,19.7,21.23
14.06,84.53,9.26,16.18,1.54
23.26,52.14,8.41,2.33,18.21
17.42,33.68,4.07,15.17,14.1
15.88,16.07,2.21,4.6,22.21
16.25,38.03,9.4,0.85,19.01
35.38,67.58,8.73,18.75,10.49
30.88,24.13,8.76,1.42,25.47
30.59,89.03,9.71,8.97,7.41
11.08,72.35,9.36,7.87,6.27
17.52,73.09,6.24,11.46,4.51
18.54,71.6,1.38,2.94,9.59
19.01,52.11,2.22,3.07,13.48
21.97,11.8,5.82,6.33,23.3
25.45,42.5,6.05,14.08,13.8
43.9,66.21,0.99,17.77,15.63
39.0,15.43,0.61,15.05,24.56
11.4,40.01,2.49,17.39,6.77
42.81,29.96,4.7,9.97,23.88
42.99,62.37,2.95,5.83,20.35
24.31,76.09,0.81,8.02,8.56
26.01,69.23,7.69,16.54,6.79
19.23,79.05,9.94,3.92,7.99
17.78,19.99,6.42,11.37,18.25
30.91,32.85,7.4,8.13,20.56
21.11,25.02,2.56,5.47,21.69
31.74,42.89,7.77,15.35,17.52
31.27,17.04,8.35,13.63,19.79
32.04,41.02,4.95,9.53,17.74
44.81,73.75,4.07,15.36,15.47
22.48,42.02,6.18,5.54,19.01
34.28,25.37,8.73,3.2,27.2
27.59,40.58,0.57,18.74,12.25
26.78,24.87,3.53,7.62,22.58
41.73,47.58,5.59,9.19,22.49
23.62,22.33,5.77,0.0,24.27
26.97,59.96,2.22,4.41,17.4
23.26,47.22,6.57,5.84,16.55
44.42,28.64,2.18,16.13,22.47
23.87,50.49,8.42,8.7,16.16
35.54,66.8,8.22,10.51,12.91
21.55,73.79,2.49,19.17,5.63
23.93,26.82,5.83,6.07,19.36
42.27,52.18,8.89,8.94,21.61
26.56,89.4,7.81,17.46,5.21
19.2,52.96,4.74,19.59,8.34
16.35,57.37,6.59,4.29,11.49
33.1,35.52,0.78,5.45,22.27
36.17,59.43,4.62,13.99,15.26
15.72,58.67,4.85,7.29,10.95
37.95,22.35,9.39,19.49,19.23
30.93,70.87,6.84,7.42,12.44
29.43,25.12,2.76,17.5,18.77
42.28,83.85,9.42,9.27,15.11
19.94,61.72,8.76,19.4,5.03
19.63,42.1,5.33,19.89,9.16
15.06,42.14,2.44,0.93,17.21
25.74,71.01,8.43,14.93,9.55
37.27,81.51,4.96,13.21,10.08
34.1,62.21,7.68,13.46,13.34
39.77,57.31,4.07,17.36,15.02
13.13,85.47,4.5,17.16,0.61
38.24,48.02,4.44,10.4,18.4
40.73,62.07,5.72,6.28,18.78
11.54,70.56,9.44,2.6,6.57
30.65,25.3,4.9,3.06,26.5
15.09,69.47,5.11,4.43,7.64
40.96,43.12,7.7,1.06,27.34
19.74,88.96,7.2,19.62,0.0
42.65,89.86,3.0,14.24,13.55
22.2,22.6,2.05,5.36,22.32
20.84,78.63,1.07,12.49,6.07
26.71,30.98,6.18,11.55,18.5
11.0,54.66,8.88,10.26,6.88
10.77,13.16,6.48,2.1,20.43
44.0,64.93,0.78,7.27,22.89
37.17,61.63,5.85,19.41,11.57
20.94,54.43,5.1,9.8,13.13
39.18,25.68,8.47,3.73,27.83
40.97,60.11,1.87,3.15,21.21
38.1,25.8,1.43,1.01,30.52
14.72,71.96,3.13,3.14,11.38
13.49,10.91,9.21,4.42,18.65
40.29,66.51,2.44,18.08,14.44
22.84,25.66,7.5,5.74,21.39
17.31,10.64,7.42,8.98,19.79
41.25,53.29,9.02,7.68,21.98
24.72,49.44,8.74,14.71,10.52
10.54,58.16,8.18,18.39,0.63
18.89,25.61,9.47,13.29,15.08
13.1,62.2,7.96,11.47,4.65
29.38,75.96,0.8,13.26,10.85
25.96,38.04,9.14,5.38,17.89
18.6,54.66,5.98,19.02,7.95
39.49,86.76,0.63,18.08,8.22
32.74,19.18,7.77,5.56,26.97
15.72,70.43,1.05,19.26,1.81
15.38,65.2,5.23,7.08,7.5
19.98,32.61,8.03,4.52,19.98
34.38,87.76,3.31,18.3,8.42
39.1,85.27,0.81,19.82,9.64
15.51,84.73,1.19,0.89,7.48
25.86,46.29,4.23,11.94,13.79
43.7,53.77,5.88,2.07,26.6
25.29,29.93,8.81,4.75,21.13
40.34,76.91,4.25,12.02,13.89
16.64,44.37,5.06,0.04,18.8
16.6,82.83,8.62,12.7,1.93
28.24,72.83,4.13,16.78,6.35
31.97,61.48,1.9,12.11,12.66
16.38,72.24,8.54,13.64,2.44
21.77,82.4,6.18,11.22,7.97
23.65,67.7,3.22,7.91,13.17
40.07,73.51,1.74,18.22,10.95
17.36,30.67,1.79,6.23,15.59
40.05,40.72,4.84,15.32,18.42
16.08,63.34,9.34,14.59,7.47
26.62,29.34,2.34,5.05,23.92
40.87,19.19,4.04,0.0,33.08
18.7,22.67,6.99,14.12,13.55
21.69,85.01,9.86,1.4,8.09
27.52,77.82,6.53,19.5,6.37
37.76,81.69,0.64,16.42,11.4
32.44,46.27,2.86,12.02,17.83
38.37,32.26,4.91,7.73,24.29
37.44,19.15,6.81,5.84,29.14
43.64,63.39,7.67,17.26,14.94
33.18,59.53,5.97,6.33,17.48
20.11,47.49,5.0,11.27,14.03
13.72,50.85,5.66,16.93,5.05
36.81,81.86,4.47,18.39,9.65
39.87,63.28,8.07,2.67,19.2
32.43,54.29,2.65,4.75,18.92
40.62,13.64,9.16,1.27,32.74
32.1,63.39,9.98,14.27,10.23
34.66,19.9,4.59,17.49,21.28
41.99,26.31,1.02,5.44,28.76
33.41,55.37,6.24,13.44,16.07
37.91,79.69,3.15,19.13,9.9
32.58,29.88,7.58,1.26,26.72
20.35,35.57,8.45,11.58,13.61
15.87,48.07,7.0,1.43,13.37
38.66,34.8,1.11,13.51,20.44
22.55,86.74,9.79,16.53,2.37
24.24,56.03,4.79,3.96,14.64
26.52,82.61,9.4,13.46,6.52
15.68,77.81,5.76,9.06,6.7
36.84,16.31,2.43,0.24,29.29
38.65,81.45,8.49,4.57,17.28
35.22,26.22,6.0,15.04,21.18
35.69,68.97,9.89,8.57,15.71
22.92,82.73,8.49,2.5,11.57
42.89,36.97,7.7,7.81,26.48
27.61,28.21,2.36,6.24,21.3
11.4,59.94,5.34,4.36,11.14
17.22,56.65,1.03,18.89,5.12
25.4,26.22,7.0,18.5,15.26
12.97,56.77,2.14,14.06,8.0
31.42,26.86,7.92,5.08,24.9
31.08,66.99,8.57,12.88,10.87
35.95,50.69,8.23,19.18,14.59
42.61,89.42,5.6,4.83,16.04
31.79,69.95,8.16,17.01,9.3
34.31,25.45,0.58,13.13,22.02
19.76,78.57,3.96,8.1,7.02
20.65,85.84,9.53,5.95,6.51
24.76,47.02,3.62,4.34,17.53
20.5,49.59,7.06,18.52,8.89
28.22,25.14,2.02,0.38,27.53
39.05,87.51,2.97,3.96,17.12
15.91,20.18,3.14,18.85,13.24
31.13,25.7,4.01,9.59,24.05
13.73,31.2,8.34,17.83,8.98
28.97,81.27,4.23,16.26,6.26
37.93,69.13,3.53,7.4,16.2
14.97,14.2,2.97,6.3,18.71
27.91,75.14,5.58,11.39,11.74
43.76,21.9,6.74,14.12,23.49
12.22,25.69,7.33,16.84,9.34
19.73,44.64,7.8,9.11,12.24
21.07,40.49,6.1,16.21,10.19
12.53,50.19,8.07,10.84,8.74
40.89,67.82,6.73,9.14,17.14
23.69,57.95,4.7,3.43,17.55
40.73,71.91,1.52,10.08,16.44
12.71,39.79,6.34,19.07,6.38
35.69,54.77,3.0,0.57,24.39
42.7,31.28,6.04,3.53,29.35
27.3,50.8,3.41,0.12,22.33
36.78,26.8,3.04,1.15,28.31
44.42,78.81,5.04,5.64,19.46
28.15,81.69,4.04,6.82,10.32
20.33,46.99,1.81,14.71,10.08
27.79,12.19,6.69,8.23,23.93
24.47,40.64,9.75,7.91,18.47
21.09,60.86,8.3,6.82,13.71
36.97,26.96,3.93,12.46,24.28
22.44,55.71,9.5,19.75,8.87
20.84,85.63,5.02,11.88,5.3
43.54,47.61,4.93,7.42,22.37
39.56,36.37,1.72,14.52,20.19
31.85,69.23,9.81,0.23,18.11
41.85,59.13,7.89,4.22,23.0
15.77,51.43,5.24,11.74,11.08
19.24,71.48,0.98,12.46,5.62
39.51,71.27,7.58,15.03,11.86
37.05,15.15,2.39,7.24,28.74
31.24,84.44,6.5,18.85,6.16
10.88,45.78,4.66,19.18,6.2
41.48,38.21,6.18,13.18,21.3
22.83,51.63,2.51,6.46,15.27
34.08,14.34,0.79,10.81,26.21
42.92,62.39,2.01,1.07,24.75
33.22,29.38,9.64,6.38,21.42
20.59,52.18,2.72,19.62,9.36
40.93,47.97,2.64,5.97,23.05
25.27,16.58,6.74,10.07,22.05
13.01,19.7,2.95,11.0,13.74
31.79,49.52,4.4,2.88,19.66
37.23,26.3,2.39,18.9,21.2
14.01,67.47,1.68,6.51,8.5
12.09,82.96,3.97,19.75,0.0
13.85,46.62,6.46,6.5,11.76
27.7,34.24,9.04,2.34,23.34
