temperature,humidity,wind_speed,thermal_output
3.27,38.77,16.31,0.0
16.98,80.86,17.51,0.0
21.41,69.04,7.77,0.0
-5.02,81.68,17.63,0.0
5.61,51.21,14.63,0.0
0.25,29.94,4.58,0.0
-9.39,28.14,5.01,0.0
21.11,49.74,11.73,0.0
0.68,97.58,10.5,0.0
23.72,89.45,8.68,0.0
3.21,92.73,0.59,0.0
20.69,80.28,10.48,0.0
26.2,43.64,14.32,0.0
40.66,26.93,3.84,10.95
-3.41,75.62,8.64,0.0
-8.35,46.15,13.15,0.0
25.67,97.82,16.88,0.0
-0.86,33.94,7.06,0.0
18.49,37.29,13.55,0.0
29.13,66.53,16.56,0.0
32.81,80.42,19.27,0.0
17.48,67.17,15.58,0.0
24.6,52.96,16.79,0.0
7.39,75.86,16.89,0.0
10.29,96.82,1.55,0.0
25.86,53.75,14.86,0.0
2.91,39.4,15.38,0.0
5.29,67.44,14.53,0.0
8.41,92.18,6.71,0.0
6.64,93.67,10.9,0.0
-3.68,26.37,13.4,0.0
14.6,72.58,12.94,0.0
42.4,29.83,1.57,13.48
11.82,65.22,15.37,0.0
-8.41,60.92,19.6,0.0
12.14,66.09,1.02,0.0
4.92,41.83,12.71,0.0
11.41,64.23,5.29,0.0
30.13,39.51,0.36,3.92
-2.28,34.56,1.99,0.0
31.91,67.17,2.54,0.0
17.43,99.3,8.5,0.0
-9.39,86.5,14.16,0.0
37.92,52.53,17.06,1.17
42.53,23.0,18.56,9.96
36.51,95.52,18.76,0.0
44.81,52.64,5.99,8.94
33.59,21.78,2.31,10.34
-9.04,78.95,8.09,0.0
34.58,94.29,1.88,0.0
-1.98,92.69,18.71,0.0
-0.16,42.75,8.71,0.0
17.99,43.81,13.55,0.0
-9.07,70.77,18.41,0.0
-7.24,51.99,3.34,0.0
37.33,89.6,4.56,0.0
30.55,93.43,11.46,0.0
15.77,83.52,19.08,0.0
-7.25,52.23,2.05,0.0
15.14,68.42,14.27,0.0
2.22,56.14,5.3,0.0
6.37,93.21,13.43,0.0
41.59,79.79,3.64,2.78
39.1,61.16,7.37,3.41
1.82,52.78,14.09,0.0
22.18,69.44,13.93,0.0
28.25,89.54,3.29,0.0
-0.93,83.39,4.92,0.0
-5.94,72.49,2.99,0.0
21.34,51.81,5.14,0.0
-7.95,46.49,16.37,0.0
-3.5,30.34,14.99,0.0
42.54,79.98,11.26,0.0
1.86,61.0,4.41,0.0
44.36,43.26,2.24,9.47
40.28,44.7,6.14,8.45
-3.41,35.07,10.54,0.0
-1.54,22.66,12.36,0.0
17.14,47.54,8.18,0.0
41.69,22.81,9.34,11.09
28.18,98.49,4.16,0.0
-9.14,77.67,12.45,0.0
32.07,50.03,6.95,2.9
26.12,80.85,13.21,0.0
22.07,92.97,14.58,0.0
44.54,89.75,10.16,1.13
4.89,57.5,2.7,0.0
13.8,75.09,17.92,0.0
-1.87,41.43,15.42,0.0
3.4,80.81,3.2,0.0
-1.27,61.62,12.42,0.0
35.31,64.09,14.91,0.0
15.35,37.21,13.84,0.0
0.41,34.64,19.8,0.0
-1.78,82.23,5.02,0.0
14.94,56.61,18.26,0.0
22.17,55.59,6.52,0.0
18.88,22.38,0.43,0.82
6.64,99.69,6.6,0.0
30.91,36.92,7.74,1.33
16.03,41.9,2.84,0.0
36.53,57.65,18.72,0.06
19.58,60.21,9.52,0.0
10.5,43.35,8.35,0.0
-7.07,39.56,0.92,0.0
14.66,76.15,2.83,0.0
31.66,45.58,7.33,0.0
26.04,66.6,19.18,0.0
20.21,74.27,2.77,0.0
-6.08,93.31,7.85,0.0
20.4,50.02,9.92,0.0
28.91,51.38,17.16,0.0
2.72,65.83,17.4,0.0
41.72,80.84,8.84,0.0
32.04,69.18,10.23,0.0
13.92,94.66,19.15,0.0
43.96,42.71,0.57,12.74
7.4,20.23,9.35,0.0
13.62,71.58,10.22,0.0
7.34,82.25,9.79,0.0
35.5,53.29,16.91,0.0
16.15,70.0,8.61,0.0
-4.78,38.83,2.81,0.0
34.04,66.69,17.18,0.0
35.26,40.98,8.54,5.96
11.27,81.87,8.46,0.0
16.4,85.35,14.86,0.0
-1.11,77.84,4.73,0.0
-8.97,96.18,10.11,0.0
-7.33,31.23,16.47,0.0
3.71,55.58,13.87,0.0
42.9,92.51,11.35,0.0
11.08,92.8,5.41,0.0
39.64,22.65,6.2,11.42
-4.23,36.52,9.02,0.0
2.83,22.98,3.29,0.0
37.8,56.99,10.08,1.32
9.26,21.22,2.62,0.0
