precipitation,humidity,temperature,hydro_output
41.85,50.54,32.79,27.11
82.13,71.39,26.73,50.4
60.32,37.77,-4.45,30.02
11.16,62.45,19.88,15.79
46.57,73.22,27.83,34.53
67.08,92.9,3.0,47.58
92.77,77.72,11.41,59.04
17.84,85.95,8.78,25.89
2.39,42.68,24.13,8.78
8.45,47.66,0.41,10.44
68.92,61.41,32.73,42.67
35.13,67.31,17.87,30.95
79.53,65.71,-1.25,49.01
37.13,56.57,1.79,27.45
71.01,62.42,-2.92,41.85
55.01,73.45,13.99,41.9
73.46,33.3,26.1,41.81
44.22,37.18,15.63,30.91
54.11,54.65,28.84,32.46
23.31,54.49,2.4,17.64
1.58,36.11,2.39,5.79
38.38,81.25,7.15,32.53
34.72,39.21,31.17,19.59
6.61,60.07,9.38,12.88
81.68,37.32,4.63,43.35
15.37,76.72,-1.9,16.5
92.64,64.76,-6.39,54.38
39.86,94.22,9.26,36.27
15.53,71.49,26.33,20.51
18.26,70.34,5.63,19.3
17.63,87.23,29.82,20.76
6.29,33.71,-2.94,2.62
21.07,74.33,3.0,21.07
26.18,38.25,15.7,21.86
36.07,43.03,34.31,20.8
46.62,65.53,-0.97,31.47
50.23,48.98,31.99,29.34
55.91,89.09,14.82,44.16
98.95,84.38,7.27,65.81
20.02,61.66,24.32,21.34
59.1,99.15,5.23,48.23
94.49,58.0,17.42,56.2
40.71,91.63,31.16,32.95
29.41,34.5,16.46,20.95
72.4,69.68,10.17,48.85
82.2,44.4,-8.41,43.3
84.83,48.97,25.47,50.15
62.75,90.88,5.54,48.67
81.9,47.11,-1.33,44.02
80.54,46.06,15.76,49.89
28.97,75.79,4.3,26.3
0.48,36.11,6.58,3.47
79.6,52.55,3.84,46.51
60.89,44.13,-0.09,34.58
44.41,73.73,18.39,36.46
84.12,68.91,16.62,56.2
86.57,76.53,13.86,59.19
95.98,74.4,1.38,56.97
59.0,31.28,19.15,34.94
84.14,52.08,16.12,50.6
39.77,86.59,11.87,36.54
39.66,91.24,22.75,36.24
26.71,32.24,26.92,17.43
37.77,68.32,-6.66,26.63
31.97,63.91,28.25,23.09
28.98,75.82,5.61,24.84
20.13,54.6,28.43,18.45
67.94,64.17,15.17,48.05
22.11,34.58,14.56,17.32
23.24,79.23,9.33,26.58
68.53,80.95,24.71,48.46
70.16,72.43,-2.31,46.33
11.47,90.84,3.89,19.51
14.98,96.73,7.28,24.95
86.52,63.92,32.78,49.24
22.85,90.7,29.0,25.35
30.28,89.5,27.27,28.42
0.34,52.02,-1.09,6.9
8.28,79.45,4.54,16.79
84.33,68.67,21.88,53.49
42.44,30.57,32.38,20.62
21.21,86.17,-3.82,20.85
77.22,75.3,20.95,50.83
61.29,64.83,-7.61,36.86
88.37,57.57,34.32,51.3
40.45,31.41,28.22,23.11
91.91,85.62,24.95,60.38
5.04,89.94,7.29,19.64
92.91,48.01,17.94,53.9
26.01,37.28,21.49,17.21
49.96,87.76,27.93,38.39
93.76,38.56,4.93,53.37
9.53,85.18,32.67,16.76
87.5,75.5,12.74,57.66
30.8,39.28,-7.19,18.38
88.46,94.17,26.08,58.64
68.41,50.3,34.84,36.95
1.1,50.83,1.93,8.28
94.71,85.43,17.55,64.58
15.27,50.37,10.65,18.39
30.14,45.45,24.17,19.7
73.65,97.07,30.89,51.4
24.5,50.68,29.51,17.44
10.47,62.49,14.59,16.79
0.7,80.97,25.54,12.72
59.66,52.12,13.92,41.04
81.83,72.85,27.8,49.93
26.18,40.38,-2.35,14.74
11.3,37.28,10.61,11.54
92.77,47.75,32.86,52.34
45.28,50.34,25.58,28.5
38.18,40.3,25.8,25.21
56.61,84.12,-7.37,39.41
84.25,69.86,8.89,54.09
69.15,62.76,-5.04,39.52
1.01,55.21,3.97,7.31
88.8,42.22,14.44,53.54
35.71,79.68,17.82,32.77
84.09,73.71,12.27,56.77
75.44,33.14,-7.38,37.63
6.54,31.66,32.98,4.11
69.26,54.85,32.34,38.96
55.69,79.04,22.82,41.78
66.01,89.27,25.55,47.99
53.17,31.41,14.02,34.47
36.41,59.57,23.94,27.42
74.54,62.39,11.4,48.38
79.19,58.81,32.3,46.94
21.55,62.08,0.7,17.93
14.31,84.59,27.76,19.02
51.46,43.65,13.09,35.8
36.29,83.92,26.21,32.89
31.71,33.93,33.42,16.49
58.5,78.56,1.21,40.13
29.91,97.24,12.01,35.44
60.97,59.43,28.86,37.64
75.18,30.2,10.39,43.33
2.34,80.35,-5.27,11.9
21.22,83.65,7.35,23.46
